,nid,cabinet,cname,NICaddr,x,y,z,class
0,0,c0-0,c0-0c0s0n0,0,0,0,0,service
1,1,c0-0,c0-0c0s0n1,1,0,0,0,service
2,2,c0-0,c0-0c0s1n0,4,0,0,1,dsl
3,3,c0-0,c0-0c0s1n1,5,0,0,1,dsl
4,4,c0-0,c0-0c0s2n0,8,0,0,2,dsl
5,5,c0-0,c0-0c0s2n1,9,0,0,2,dsl
6,6,c0-0,c0-0c0s3n0,12,0,0,3,dsl
7,7,c0-0,c0-0c0s3n1,13,0,0,3,dsl
8,8,c0-0,c0-0c0s4n0,16,0,0,4,dsl
9,9,c0-0,c0-0c0s4n1,17,0,0,4,dsl
10,10,c0-0,c0-0c0s5n0,20,0,0,5,dsl
11,11,c0-0,c0-0c0s5n1,21,0,0,5,dsl
12,12,c0-0,c0-0c0s6n0,24,0,0,6,xe
13,13,c0-0,c0-0c0s6n1,25,0,0,6,xe
14,14,c0-0,c0-0c0s7n0,28,0,0,7,xe
15,15,c0-0,c0-0c0s7n1,29,0,0,7,xe
16,16,c0-0,c0-0c1s7n0,32,0,0,8,xe
17,17,c0-0,c0-0c1s7n1,33,0,0,8,xe
18,18,c0-0,c0-0c1s6n0,36,0,0,9,xe
19,19,c0-0,c0-0c1s6n1,37,0,0,9,xe
20,20,c0-0,c0-0c1s5n0,40,0,0,10,xe
21,21,c0-0,c0-0c1s5n1,41,0,0,10,xe
22,22,c0-0,c0-0c1s4n0,44,0,0,11,xe
23,23,c0-0,c0-0c1s4n1,45,0,0,11,xe
24,24,c0-0,c0-0c1s3n0,48,0,0,12,xe
25,25,c0-0,c0-0c1s3n1,49,0,0,12,xe
26,26,c0-0,c0-0c1s2n0,52,0,0,13,xe
27,27,c0-0,c0-0c1s2n1,53,0,0,13,xe
28,28,c0-0,c0-0c1s1n0,56,0,0,14,xe
29,29,c0-0,c0-0c1s1n1,57,0,0,14,xe
30,30,c0-0,c0-0c1s0n0,60,0,0,15,xe
31,31,c0-0,c0-0c1s0n1,61,0,0,15,xe
32,32,c0-0,c0-0c2s0n0,64,0,0,16,xe
33,33,c0-0,c0-0c2s0n1,65,0,0,16,xe
34,34,c0-0,c0-0c2s1n0,68,0,0,17,xe
35,35,c0-0,c0-0c2s1n1,69,0,0,17,xe
36,36,c0-0,c0-0c2s2n0,72,0,0,18,xe
37,37,c0-0,c0-0c2s2n1,73,0,0,18,xe
38,38,c0-0,c0-0c2s3n0,76,0,0,19,xe
39,39,c0-0,c0-0c2s3n1,77,0,0,19,xe
40,40,c0-0,c0-0c2s4n0,80,0,0,20,xe
41,41,c0-0,c0-0c2s4n1,81,0,0,20,xe
42,42,c0-0,c0-0c2s5n0,84,0,0,21,xe
43,43,c0-0,c0-0c2s5n1,85,0,0,21,xe
44,44,c0-0,c0-0c2s6n0,88,0,0,22,xe
45,45,c0-0,c0-0c2s6n1,89,0,0,22,xe
46,46,c0-0,c0-0c2s7n0,92,0,0,23,xe
47,47,c0-0,c0-0c2s7n1,93,0,0,23,xe
48,48,c0-0,c0-0c2s7n2,220,0,1,23,xe
49,49,c0-0,c0-0c2s7n3,221,0,1,23,xe
50,50,c0-0,c0-0c2s6n2,216,0,1,22,xe
51,51,c0-0,c0-0c2s6n3,217,0,1,22,xe
52,52,c0-0,c0-0c2s5n2,212,0,1,21,xe
53,53,c0-0,c0-0c2s5n3,213,0,1,21,xe
54,54,c0-0,c0-0c2s4n2,208,0,1,20,xe
55,55,c0-0,c0-0c2s4n3,209,0,1,20,xe
56,56,c0-0,c0-0c2s3n2,204,0,1,19,xe
57,57,c0-0,c0-0c2s3n3,205,0,1,19,xe
58,58,c0-0,c0-0c2s2n2,200,0,1,18,xe
59,59,c0-0,c0-0c2s2n3,201,0,1,18,xe
60,60,c0-0,c0-0c2s1n2,196,0,1,17,xe
61,61,c0-0,c0-0c2s1n3,197,0,1,17,xe
62,62,c0-0,c0-0c2s0n2,192,0,1,16,xe
63,63,c0-0,c0-0c2s0n3,193,0,1,16,xe
64,64,c0-0,c0-0c1s0n2,188,0,1,15,xe
65,65,c0-0,c0-0c1s0n3,189,0,1,15,xe
66,66,c0-0,c0-0c1s1n2,184,0,1,14,xe
67,67,c0-0,c0-0c1s1n3,185,0,1,14,xe
68,68,c0-0,c0-0c1s2n2,180,0,1,13,xe
69,69,c0-0,c0-0c1s2n3,181,0,1,13,xe
70,70,c0-0,c0-0c1s3n2,176,0,1,12,xe
71,71,c0-0,c0-0c1s3n3,177,0,1,12,xe
72,72,c0-0,c0-0c1s4n2,172,0,1,11,xe
73,73,c0-0,c0-0c1s4n3,173,0,1,11,xe
74,74,c0-0,c0-0c1s5n2,168,0,1,10,xe
75,75,c0-0,c0-0c1s5n3,169,0,1,10,xe
76,76,c0-0,c0-0c1s6n2,164,0,1,9,xe
77,77,c0-0,c0-0c1s6n3,165,0,1,9,xe
78,78,c0-0,c0-0c1s7n2,160,0,1,8,xe
79,79,c0-0,c0-0c1s7n3,161,0,1,8,xe
80,80,c0-0,c0-0c0s7n2,156,0,1,7,xe
81,81,c0-0,c0-0c0s7n3,157,0,1,7,xe
82,82,c0-0,c0-0c0s6n2,152,0,1,6,xe
83,83,c0-0,c0-0c0s6n3,153,0,1,6,xe
84,84,c0-0,c0-0c0s5n2,148,0,1,5,dsl
85,85,c0-0,c0-0c0s5n3,149,0,1,5,dsl
86,86,c0-0,c0-0c0s4n2,144,0,1,4,dsl
87,87,c0-0,c0-0c0s4n3,145,0,1,4,dsl
88,88,c0-0,c0-0c0s3n2,140,0,1,3,dsl
89,89,c0-0,c0-0c0s3n3,141,0,1,3,dsl
90,90,c0-0,c0-0c0s2n2,136,0,1,2,dsl
91,91,c0-0,c0-0c0s2n3,137,0,1,2,dsl
92,92,c0-0,c0-0c0s1n2,132,0,1,1,dsl
93,93,c0-0,c0-0c0s1n3,133,0,1,1,dsl
94,94,c0-0,c0-0c0s0n2,128,0,1,0,rsip
95,95,c0-0,c0-0c0s0n3,129,0,1,0,service
96,96,c0-2,c0-2c2s0n0,256,0,2,0,xe
97,97,c0-2,c0-2c2s0n1,257,0,2,0,xe
98,98,c0-2,c0-2c2s1n0,260,0,2,1,xe
99,99,c0-2,c0-2c2s1n1,261,0,2,1,xe
100,100,c0-2,c0-2c2s2n0,264,0,2,2,xe
101,101,c0-2,c0-2c2s2n1,265,0,2,2,xe
102,102,c0-2,c0-2c2s3n0,268,0,2,3,xe
103,103,c0-2,c0-2c2s3n1,269,0,2,3,xe
104,104,c0-2,c0-2c2s4n0,272,0,2,4,xe
105,105,c0-2,c0-2c2s4n1,273,0,2,4,xe
106,106,c0-2,c0-2c2s5n0,276,0,2,5,xe
107,107,c0-2,c0-2c2s5n1,277,0,2,5,xe
108,108,c0-2,c0-2c2s6n0,280,0,2,6,xe
109,109,c0-2,c0-2c2s6n1,281,0,2,6,xe
110,110,c0-2,c0-2c2s7n0,284,0,2,7,xe
111,111,c0-2,c0-2c2s7n1,285,0,2,7,xe
112,112,c0-2,c0-2c1s7n0,288,0,2,8,xe
113,113,c0-2,c0-2c1s7n1,289,0,2,8,xe
114,114,c0-2,c0-2c1s6n0,292,0,2,9,xe
115,115,c0-2,c0-2c1s6n1,293,0,2,9,xe
116,116,c0-2,c0-2c1s5n0,296,0,2,10,xe
117,117,c0-2,c0-2c1s5n1,297,0,2,10,xe
118,118,c0-2,c0-2c1s4n0,300,0,2,11,xe
119,119,c0-2,c0-2c1s4n1,301,0,2,11,xe
120,120,c0-2,c0-2c1s3n0,304,0,2,12,xe
121,121,c0-2,c0-2c1s3n1,305,0,2,12,xe
122,122,c0-2,c0-2c1s2n0,308,0,2,13,xe
123,123,c0-2,c0-2c1s2n1,309,0,2,13,xe
124,124,c0-2,c0-2c1s1n0,312,0,2,14,xe
125,125,c0-2,c0-2c1s1n1,313,0,2,14,xe
126,126,c0-2,c0-2c1s0n0,316,0,2,15,xe
127,127,c0-2,c0-2c1s0n1,317,0,2,15,xe
128,128,c0-2,c0-2c0s0n0,320,0,2,16,xe
129,129,c0-2,c0-2c0s0n1,321,0,2,16,xe
130,130,c0-2,c0-2c0s1n0,324,0,2,17,xe
131,131,c0-2,c0-2c0s1n1,325,0,2,17,xe
132,132,c0-2,c0-2c0s2n0,328,0,2,18,xe
133,133,c0-2,c0-2c0s2n1,329,0,2,18,xe
134,134,c0-2,c0-2c0s3n0,332,0,2,19,xe
135,135,c0-2,c0-2c0s3n1,333,0,2,19,xe
136,136,c0-2,c0-2c0s4n0,336,0,2,20,xe
137,137,c0-2,c0-2c0s4n1,337,0,2,20,xe
138,138,c0-2,c0-2c0s5n0,340,0,2,21,xe
139,139,c0-2,c0-2c0s5n1,341,0,2,21,xe
140,140,c0-2,c0-2c0s6n0,344,0,2,22,xe
141,141,c0-2,c0-2c0s6n1,345,0,2,22,xe
142,142,c0-2,c0-2c0s7n0,348,0,2,23,xe
143,143,c0-2,c0-2c0s7n1,349,0,2,23,xe
144,144,c0-2,c0-2c0s7n2,476,0,3,23,xe
145,145,c0-2,c0-2c0s7n3,477,0,3,23,xe
146,146,c0-2,c0-2c0s6n2,472,0,3,22,xe
147,147,c0-2,c0-2c0s6n3,473,0,3,22,xe
148,148,c0-2,c0-2c0s5n2,468,0,3,21,xe
149,149,c0-2,c0-2c0s5n3,469,0,3,21,xe
150,150,c0-2,c0-2c0s4n2,464,0,3,20,xe
151,151,c0-2,c0-2c0s4n3,465,0,3,20,xe
152,152,c0-2,c0-2c0s3n2,460,0,3,19,xe
153,153,c0-2,c0-2c0s3n3,461,0,3,19,xe
154,154,c0-2,c0-2c0s2n2,456,0,3,18,xe
155,155,c0-2,c0-2c0s2n3,457,0,3,18,xe
156,156,c0-2,c0-2c0s1n2,452,0,3,17,xe
157,157,c0-2,c0-2c0s1n3,453,0,3,17,xe
158,158,c0-2,c0-2c0s0n2,448,0,3,16,xe
159,159,c0-2,c0-2c0s0n3,449,0,3,16,xe
160,160,c0-2,c0-2c1s0n2,444,0,3,15,xe
161,161,c0-2,c0-2c1s0n3,445,0,3,15,xe
162,162,c0-2,c0-2c1s1n2,440,0,3,14,xe
163,163,c0-2,c0-2c1s1n3,441,0,3,14,xe
164,164,c0-2,c0-2c1s2n2,436,0,3,13,xe
165,165,c0-2,c0-2c1s2n3,437,0,3,13,xe
166,166,c0-2,c0-2c1s3n2,432,0,3,12,xe
167,167,c0-2,c0-2c1s3n3,433,0,3,12,xe
168,168,c0-2,c0-2c1s4n2,428,0,3,11,xe
169,169,c0-2,c0-2c1s4n3,429,0,3,11,xe
170,170,c0-2,c0-2c1s5n2,424,0,3,10,xe
171,171,c0-2,c0-2c1s5n3,425,0,3,10,xe
172,172,c0-2,c0-2c1s6n2,420,0,3,9,xe
173,173,c0-2,c0-2c1s6n3,421,0,3,9,xe
174,174,c0-2,c0-2c1s7n2,416,0,3,8,xe
175,175,c0-2,c0-2c1s7n3,417,0,3,8,xe
176,176,c0-2,c0-2c2s7n2,412,0,3,7,xe
177,177,c0-2,c0-2c2s7n3,413,0,3,7,xe
178,178,c0-2,c0-2c2s6n2,408,0,3,6,xe
179,179,c0-2,c0-2c2s6n3,409,0,3,6,xe
180,180,c0-2,c0-2c2s5n2,404,0,3,5,xe
181,181,c0-2,c0-2c2s5n3,405,0,3,5,xe
182,182,c0-2,c0-2c2s4n2,400,0,3,4,xe
183,183,c0-2,c0-2c2s4n3,401,0,3,4,xe
184,184,c0-2,c0-2c2s3n2,396,0,3,3,xe
185,185,c0-2,c0-2c2s3n3,397,0,3,3,xe
186,186,c0-2,c0-2c2s2n2,392,0,3,2,xe
187,187,c0-2,c0-2c2s2n3,393,0,3,2,xe
188,188,c0-2,c0-2c2s1n2,388,0,3,1,xe
189,189,c0-2,c0-2c2s1n3,389,0,3,1,xe
190,190,c0-2,c0-2c2s0n2,384,0,3,0,xe
191,191,c0-2,c0-2c2s0n3,385,0,3,0,xe
192,192,c0-4,c0-4c0s0n0,512,0,4,0,xe
193,193,c0-4,c0-4c0s0n1,513,0,4,0,xe
194,194,c0-4,c0-4c0s1n0,516,0,4,1,xe
195,195,c0-4,c0-4c0s1n1,517,0,4,1,xe
196,196,c0-4,c0-4c0s2n0,520,0,4,2,xe
197,197,c0-4,c0-4c0s2n1,521,0,4,2,xe
198,198,c0-4,c0-4c0s3n0,524,0,4,3,xe
199,199,c0-4,c0-4c0s3n1,525,0,4,3,xe
200,200,c0-4,c0-4c0s4n0,528,0,4,4,xe
201,201,c0-4,c0-4c0s4n1,529,0,4,4,xe
202,202,c0-4,c0-4c0s5n0,532,0,4,5,lnet
203,203,c0-4,c0-4c0s5n1,533,0,4,5,lnet
204,204,c0-4,c0-4c0s6n0,536,0,4,6,xe
205,205,c0-4,c0-4c0s6n1,537,0,4,6,xe
206,206,c0-4,c0-4c0s7n0,540,0,4,7,xe
207,207,c0-4,c0-4c0s7n1,541,0,4,7,xe
208,208,c0-4,c0-4c1s7n0,544,0,4,8,xe
209,209,c0-4,c0-4c1s7n1,545,0,4,8,xe
210,210,c0-4,c0-4c1s6n0,548,0,4,9,xe
211,211,c0-4,c0-4c1s6n1,549,0,4,9,xe
212,212,c0-4,c0-4c1s5n0,552,0,4,10,xe
213,213,c0-4,c0-4c1s5n1,553,0,4,10,xe
214,214,c0-4,c0-4c1s4n0,556,0,4,11,xe
215,215,c0-4,c0-4c1s4n1,557,0,4,11,xe
216,216,c0-4,c0-4c1s3n0,560,0,4,12,xe
217,217,c0-4,c0-4c1s3n1,561,0,4,12,xe
218,218,c0-4,c0-4c1s2n0,564,0,4,13,xe
219,219,c0-4,c0-4c1s2n1,565,0,4,13,xe
220,220,c0-4,c0-4c1s1n0,568,0,4,14,xe
221,221,c0-4,c0-4c1s1n1,569,0,4,14,xe
222,222,c0-4,c0-4c1s0n0,572,0,4,15,xe
223,223,c0-4,c0-4c1s0n1,573,0,4,15,xe
224,224,c0-4,c0-4c2s0n0,576,0,4,16,xe
225,225,c0-4,c0-4c2s0n1,577,0,4,16,xe
226,226,c0-4,c0-4c2s1n0,580,0,4,17,xe
227,227,c0-4,c0-4c2s1n1,581,0,4,17,xe
228,228,c0-4,c0-4c2s2n0,584,0,4,18,xe
229,229,c0-4,c0-4c2s2n1,585,0,4,18,xe
230,230,c0-4,c0-4c2s3n0,588,0,4,19,xe
231,231,c0-4,c0-4c2s3n1,589,0,4,19,xe
232,232,c0-4,c0-4c2s4n0,592,0,4,20,xe
233,233,c0-4,c0-4c2s4n1,593,0,4,20,xe
234,234,c0-4,c0-4c2s5n0,596,0,4,21,xe
235,235,c0-4,c0-4c2s5n1,597,0,4,21,xe
236,236,c0-4,c0-4c2s6n0,600,0,4,22,xe
237,237,c0-4,c0-4c2s6n1,601,0,4,22,xe
238,238,c0-4,c0-4c2s7n0,604,0,4,23,xe
239,239,c0-4,c0-4c2s7n1,605,0,4,23,xe
240,240,c0-4,c0-4c2s7n2,732,0,5,23,xe
241,241,c0-4,c0-4c2s7n3,733,0,5,23,xe
242,242,c0-4,c0-4c2s6n2,728,0,5,22,xe
243,243,c0-4,c0-4c2s6n3,729,0,5,22,xe
244,244,c0-4,c0-4c2s5n2,724,0,5,21,xe
245,245,c0-4,c0-4c2s5n3,725,0,5,21,xe
246,246,c0-4,c0-4c2s4n2,720,0,5,20,xe
247,247,c0-4,c0-4c2s4n3,721,0,5,20,xe
248,248,c0-4,c0-4c2s3n2,716,0,5,19,xe
249,249,c0-4,c0-4c2s3n3,717,0,5,19,xe
250,250,c0-4,c0-4c2s2n2,712,0,5,18,xe
251,251,c0-4,c0-4c2s2n3,713,0,5,18,xe
252,252,c0-4,c0-4c2s1n2,708,0,5,17,xe
253,253,c0-4,c0-4c2s1n3,709,0,5,17,xe
254,254,c0-4,c0-4c2s0n2,704,0,5,16,xe
255,255,c0-4,c0-4c2s0n3,705,0,5,16,xe
256,256,c0-4,c0-4c1s0n2,700,0,5,15,xe
257,257,c0-4,c0-4c1s0n3,701,0,5,15,xe
258,258,c0-4,c0-4c1s1n2,696,0,5,14,xe
259,259,c0-4,c0-4c1s1n3,697,0,5,14,xe
260,260,c0-4,c0-4c1s2n2,692,0,5,13,xe
261,261,c0-4,c0-4c1s2n3,693,0,5,13,xe
262,262,c0-4,c0-4c1s3n2,688,0,5,12,xe
263,263,c0-4,c0-4c1s3n3,689,0,5,12,xe
264,264,c0-4,c0-4c1s4n2,684,0,5,11,xe
265,265,c0-4,c0-4c1s4n3,685,0,5,11,xe
266,266,c0-4,c0-4c1s5n2,680,0,5,10,xe
267,267,c0-4,c0-4c1s5n3,681,0,5,10,xe
268,268,c0-4,c0-4c1s6n2,676,0,5,9,xe
269,269,c0-4,c0-4c1s6n3,677,0,5,9,xe
270,270,c0-4,c0-4c1s7n2,672,0,5,8,xe
271,271,c0-4,c0-4c1s7n3,673,0,5,8,xe
272,272,c0-4,c0-4c0s7n2,668,0,5,7,xe
273,273,c0-4,c0-4c0s7n3,669,0,5,7,xe
274,274,c0-4,c0-4c0s6n2,664,0,5,6,xe
275,275,c0-4,c0-4c0s6n3,665,0,5,6,xe
276,276,c0-4,c0-4c0s5n2,660,0,5,5,lnet
277,277,c0-4,c0-4c0s5n3,661,0,5,5,lnet
278,278,c0-4,c0-4c0s4n2,656,0,5,4,xe
279,279,c0-4,c0-4c0s4n3,657,0,5,4,xe
280,280,c0-4,c0-4c0s3n2,652,0,5,3,xe
281,281,c0-4,c0-4c0s3n3,653,0,5,3,xe
282,282,c0-4,c0-4c0s2n2,648,0,5,2,xe
283,283,c0-4,c0-4c0s2n3,649,0,5,2,xe
284,284,c0-4,c0-4c0s1n2,644,0,5,1,xe
285,285,c0-4,c0-4c0s1n3,645,0,5,1,xe
286,286,c0-4,c0-4c0s0n2,640,0,5,0,xe
287,287,c0-4,c0-4c0s0n3,641,0,5,0,xe
288,288,c0-6,c0-6c2s0n0,768,0,6,0,xe
289,289,c0-6,c0-6c2s0n1,769,0,6,0,xe
290,290,c0-6,c0-6c2s1n0,772,0,6,1,xe
291,291,c0-6,c0-6c2s1n1,773,0,6,1,xe
292,292,c0-6,c0-6c2s2n0,776,0,6,2,xe
293,293,c0-6,c0-6c2s2n1,777,0,6,2,xe
294,294,c0-6,c0-6c2s3n0,780,0,6,3,xe
295,295,c0-6,c0-6c2s3n1,781,0,6,3,xe
296,296,c0-6,c0-6c2s4n0,784,0,6,4,xe
297,297,c0-6,c0-6c2s4n1,785,0,6,4,xe
298,298,c0-6,c0-6c2s5n0,788,0,6,5,xe
299,299,c0-6,c0-6c2s5n1,789,0,6,5,xe
300,300,c0-6,c0-6c2s6n0,792,0,6,6,lnet
301,301,c0-6,c0-6c2s6n1,793,0,6,6,lnet
302,302,c0-6,c0-6c2s7n0,796,0,6,7,xe
303,303,c0-6,c0-6c2s7n1,797,0,6,7,xe
304,304,c0-6,c0-6c1s7n0,800,0,6,8,xe
305,305,c0-6,c0-6c1s7n1,801,0,6,8,xe
306,306,c0-6,c0-6c1s6n0,804,0,6,9,xe
307,307,c0-6,c0-6c1s6n1,805,0,6,9,xe
308,308,c0-6,c0-6c1s5n0,808,0,6,10,xe
309,309,c0-6,c0-6c1s5n1,809,0,6,10,xe
310,310,c0-6,c0-6c1s4n0,812,0,6,11,xe
311,311,c0-6,c0-6c1s4n1,813,0,6,11,xe
312,312,c0-6,c0-6c1s3n0,816,0,6,12,xe
313,313,c0-6,c0-6c1s3n1,817,0,6,12,xe
314,314,c0-6,c0-6c1s2n0,820,0,6,13,xe
315,315,c0-6,c0-6c1s2n1,821,0,6,13,xe
316,316,c0-6,c0-6c1s1n0,824,0,6,14,xe
317,317,c0-6,c0-6c1s1n1,825,0,6,14,xe
318,318,c0-6,c0-6c1s0n0,828,0,6,15,xe
319,319,c0-6,c0-6c1s0n1,829,0,6,15,xe
320,320,c0-6,c0-6c0s0n0,832,0,6,16,xe
321,321,c0-6,c0-6c0s0n1,833,0,6,16,xe
322,322,c0-6,c0-6c0s1n0,836,0,6,17,xe
323,323,c0-6,c0-6c0s1n1,837,0,6,17,xe
324,324,c0-6,c0-6c0s2n0,840,0,6,18,xe
325,325,c0-6,c0-6c0s2n1,841,0,6,18,xe
326,326,c0-6,c0-6c0s3n0,844,0,6,19,xe
327,327,c0-6,c0-6c0s3n1,845,0,6,19,xe
328,328,c0-6,c0-6c0s4n0,848,0,6,20,xe
329,329,c0-6,c0-6c0s4n1,849,0,6,20,xe
330,330,c0-6,c0-6c0s5n0,852,0,6,21,xe
331,331,c0-6,c0-6c0s5n1,853,0,6,21,xe
332,332,c0-6,c0-6c0s6n0,856,0,6,22,xe
333,333,c0-6,c0-6c0s6n1,857,0,6,22,xe
334,334,c0-6,c0-6c0s7n0,860,0,6,23,xe
335,335,c0-6,c0-6c0s7n1,861,0,6,23,xe
336,336,c0-6,c0-6c0s7n2,988,0,7,23,xe
337,337,c0-6,c0-6c0s7n3,989,0,7,23,xe
338,338,c0-6,c0-6c0s6n2,984,0,7,22,xe
339,339,c0-6,c0-6c0s6n3,985,0,7,22,xe
340,340,c0-6,c0-6c0s5n2,980,0,7,21,xe
341,341,c0-6,c0-6c0s5n3,981,0,7,21,xe
342,342,c0-6,c0-6c0s4n2,976,0,7,20,xe
343,343,c0-6,c0-6c0s4n3,977,0,7,20,xe
344,344,c0-6,c0-6c0s3n2,972,0,7,19,xe
345,345,c0-6,c0-6c0s3n3,973,0,7,19,xe
346,346,c0-6,c0-6c0s2n2,968,0,7,18,xe
347,347,c0-6,c0-6c0s2n3,969,0,7,18,xe
348,348,c0-6,c0-6c0s1n2,964,0,7,17,xe
349,349,c0-6,c0-6c0s1n3,965,0,7,17,xe
350,350,c0-6,c0-6c0s0n2,960,0,7,16,xe
351,351,c0-6,c0-6c0s0n3,961,0,7,16,xe
352,352,c0-6,c0-6c1s0n2,956,0,7,15,xe
353,353,c0-6,c0-6c1s0n3,957,0,7,15,xe
354,354,c0-6,c0-6c1s1n2,952,0,7,14,xe
355,355,c0-6,c0-6c1s1n3,953,0,7,14,xe
356,356,c0-6,c0-6c1s2n2,948,0,7,13,xe
357,357,c0-6,c0-6c1s2n3,949,0,7,13,xe
358,358,c0-6,c0-6c1s3n2,944,0,7,12,xe
359,359,c0-6,c0-6c1s3n3,945,0,7,12,xe
360,360,c0-6,c0-6c1s4n2,940,0,7,11,xe
361,361,c0-6,c0-6c1s4n3,941,0,7,11,xe
362,362,c0-6,c0-6c1s5n2,936,0,7,10,xe
363,363,c0-6,c0-6c1s5n3,937,0,7,10,xe
364,364,c0-6,c0-6c1s6n2,932,0,7,9,xe
365,365,c0-6,c0-6c1s6n3,933,0,7,9,xe
366,366,c0-6,c0-6c1s7n2,928,0,7,8,xe
367,367,c0-6,c0-6c1s7n3,929,0,7,8,xe
368,368,c0-6,c0-6c2s7n2,924,0,7,7,xe
369,369,c0-6,c0-6c2s7n3,925,0,7,7,xe
370,370,c0-6,c0-6c2s6n2,920,0,7,6,lnet
371,371,c0-6,c0-6c2s6n3,921,0,7,6,lnet
372,372,c0-6,c0-6c2s5n2,916,0,7,5,xe
373,373,c0-6,c0-6c2s5n3,917,0,7,5,xe
374,374,c0-6,c0-6c2s4n2,912,0,7,4,xe
375,375,c0-6,c0-6c2s4n3,913,0,7,4,xe
376,376,c0-6,c0-6c2s3n2,908,0,7,3,xe
377,377,c0-6,c0-6c2s3n3,909,0,7,3,xe
378,378,c0-6,c0-6c2s2n2,904,0,7,2,xe
379,379,c0-6,c0-6c2s2n3,905,0,7,2,xe
380,380,c0-6,c0-6c2s1n2,900,0,7,1,xe
381,381,c0-6,c0-6c2s1n3,901,0,7,1,xe
382,382,c0-6,c0-6c2s0n2,896,0,7,0,xe
383,383,c0-6,c0-6c2s0n3,897,0,7,0,xe
384,384,c0-8,c0-8c0s0n0,1024,0,8,0,xe
385,385,c0-8,c0-8c0s0n1,1025,0,8,0,xe
386,386,c0-8,c0-8c0s1n0,1028,0,8,1,xe
387,387,c0-8,c0-8c0s1n1,1029,0,8,1,xe
388,388,c0-8,c0-8c0s2n0,1032,0,8,2,xe
389,389,c0-8,c0-8c0s2n1,1033,0,8,2,xe
390,390,c0-8,c0-8c0s3n0,1036,0,8,3,xe
391,391,c0-8,c0-8c0s3n1,1037,0,8,3,xe
392,392,c0-8,c0-8c0s4n0,1040,0,8,4,xe
393,393,c0-8,c0-8c0s4n1,1041,0,8,4,xe
394,394,c0-8,c0-8c0s5n0,1044,0,8,5,xe
395,395,c0-8,c0-8c0s5n1,1045,0,8,5,xe
396,396,c0-8,c0-8c0s6n0,1048,0,8,6,xe
397,397,c0-8,c0-8c0s6n1,1049,0,8,6,xe
398,398,c0-8,c0-8c0s7n0,1052,0,8,7,lnet
399,399,c0-8,c0-8c0s7n1,1053,0,8,7,lnet
400,400,c0-8,c0-8c1s7n0,1056,0,8,8,xe
401,401,c0-8,c0-8c1s7n1,1057,0,8,8,xe
402,402,c0-8,c0-8c1s6n0,1060,0,8,9,xe
403,403,c0-8,c0-8c1s6n1,1061,0,8,9,xe
404,404,c0-8,c0-8c1s5n0,1064,0,8,10,xe
405,405,c0-8,c0-8c1s5n1,1065,0,8,10,xe
406,406,c0-8,c0-8c1s4n0,1068,0,8,11,xe
407,407,c0-8,c0-8c1s4n1,1069,0,8,11,xe
408,408,c0-8,c0-8c1s3n0,1072,0,8,12,xe
409,409,c0-8,c0-8c1s3n1,1073,0,8,12,xe
410,410,c0-8,c0-8c1s2n0,1076,0,8,13,xe
411,411,c0-8,c0-8c1s2n1,1077,0,8,13,xe
412,412,c0-8,c0-8c1s1n0,1080,0,8,14,xe
413,413,c0-8,c0-8c1s1n1,1081,0,8,14,xe
414,414,c0-8,c0-8c1s0n0,1084,0,8,15,xe
415,415,c0-8,c0-8c1s0n1,1085,0,8,15,xe
416,416,c0-8,c0-8c2s0n0,1088,0,8,16,xe
417,417,c0-8,c0-8c2s0n1,1089,0,8,16,xe
418,418,c0-8,c0-8c2s1n0,1092,0,8,17,xe
419,419,c0-8,c0-8c2s1n1,1093,0,8,17,xe
420,420,c0-8,c0-8c2s2n0,1096,0,8,18,xe
421,421,c0-8,c0-8c2s2n1,1097,0,8,18,xe
422,422,c0-8,c0-8c2s3n0,1100,0,8,19,xe
423,423,c0-8,c0-8c2s3n1,1101,0,8,19,xe
424,424,c0-8,c0-8c2s4n0,1104,0,8,20,xe
425,425,c0-8,c0-8c2s4n1,1105,0,8,20,xe
426,426,c0-8,c0-8c2s5n0,1108,0,8,21,xe
427,427,c0-8,c0-8c2s5n1,1109,0,8,21,xe
428,428,c0-8,c0-8c2s6n0,1112,0,8,22,xe
429,429,c0-8,c0-8c2s6n1,1113,0,8,22,xe
430,430,c0-8,c0-8c2s7n0,1116,0,8,23,xe
431,431,c0-8,c0-8c2s7n1,1117,0,8,23,xe
432,432,c0-8,c0-8c2s7n2,1244,0,9,23,xe
433,433,c0-8,c0-8c2s7n3,1245,0,9,23,xe
434,434,c0-8,c0-8c2s6n2,1240,0,9,22,xe
435,435,c0-8,c0-8c2s6n3,1241,0,9,22,xe
436,436,c0-8,c0-8c2s5n2,1236,0,9,21,xe
437,437,c0-8,c0-8c2s5n3,1237,0,9,21,xe
438,438,c0-8,c0-8c2s4n2,1232,0,9,20,xe
439,439,c0-8,c0-8c2s4n3,1233,0,9,20,xe
440,440,c0-8,c0-8c2s3n2,1228,0,9,19,xe
441,441,c0-8,c0-8c2s3n3,1229,0,9,19,xe
442,442,c0-8,c0-8c2s2n2,1224,0,9,18,xe
443,443,c0-8,c0-8c2s2n3,1225,0,9,18,xe
444,444,c0-8,c0-8c2s1n2,1220,0,9,17,xe
445,445,c0-8,c0-8c2s1n3,1221,0,9,17,xe
446,446,c0-8,c0-8c2s0n2,1216,0,9,16,xe
